Geneid,SRR12998916,SRR12998917,SRR12998918,SRR12998919,SRR12998920,SRR12998921
BHE81_RS25925,0,0,2,0,0,0
BHE81_RS25930,0,0,0,0,0,0
BHE81_RS25935,0,0,0,0,0,0
BHE81_RS25940,0,0,0,0,0,0
BHE81_RS25945,0,0,0,0,0,0
BHE81_RS25950,0,0,0,0,0,0
BHE81_RS25955,0,2,1,0,4,0
BHE81_RS25960,0,0,0,0,0,0
BHE81_RS25965,0,0,0,2,0,0
BHE81_RS25970,0,0,0,0,0,0
BHE81_RS25975,0,1,0,0,2,0
BHE81_RS25980,1,3,11,7,4,19
BHE81_RS28420,7,5,13,19,18,15
BHE81_RS25990,16,9,91,71,36,83
BHE81_RS25995,2,9,4,11,14,26
BHE81_RS26000,0,0,0,2,0,2
BHE81_RS26005,0,2,4,14,16,8
BHE81_RS26025,10,2,75,196,112,138
BHE81_RS26030,6,0,38,45,10,32
BHE81_RS26035,1,0,29,34,0,50
BHE81_RS26050,8,4,4,70,114,50
BHE81_RS26055,4,2,8,23,45,23
BHE81_RS26060,1,5,10,36,52,18
BHE81_RS26065,3,0,3,14,6,3
BHE81_RS26070,2,5,2,11,11,5
BHE81_RS26075,0,4,2,2,4,1
BHE81_RS26080,0,2,11,22,18,15
BHE81_RS26090,36,42,87,96,119,55
BHE81_RS26095,0,2,4,16,10,6
BHE81_RS26100,4,4,12,11,13,2
BHE81_RS26105,0,0,0,0,0,2
BHE81_RS26110,4,8,6,2,26,0
BHE81_RS28910,0,0,0,4,0,0
BHE81_RS26120,0,0,14,3,4,7
BHE81_RS26125,2,0,13,1,1,6
BHE81_RS26130,2,12,29,32,34,20
BHE81_RS28985,2,5,2,5,2,0
BHE81_RS26140,6,7,2,15,17,4
BHE81_RS26145,2,9,5,11,17,8
BHE81_RS26150,0,0,0,2,0,0
BHE81_RS26155,0,0,2,1,0,2
BHE81_RS26160,2,0,0,0,2,0
BHE81_RS26165,12,35,22,51,46,18
BHE81_RS26170,0,4,16,7,8,7
BHE81_RS26175,10,14,27,43,47,15
BHE81_RS26180,8,10,16,15,30,10
BHE81_RS26185,2,8,12,12,33,10
BHE81_RS26190,0,2,0,6,10,4
BHE81_RS26195,7,4,0,13,12,12
BHE81_RS26200,12,23,16,26,18,18
BHE81_RS26205,0,2,2,8,14,2
BHE81_RS28925,0,0,2,2,0,0
BHE81_RS26215,8,12,10,26,30,9
BHE81_RS26220,4,2,4,80,90,39
BHE81_RS26225,0,0,6,34,16,14
BHE81_RS26230,22,12,36,468,464,278
BHE81_RS26235,3,12,6,90,112,60
BHE81_RS26240,0,1,0,66,70,38
BHE81_RS26245,0,12,6,70,51,46
BHE81_RS26250,0,2,0,20,21,21
BHE81_RS26255,0,2,1,12,5,9
BHE81_RS26260,0,0,2,2,1,1
BHE81_RS29065,2,2,6,2,2,4
BHE81_RS26270,0,3,10,19,16,18
BHE81_RS26275,0,20,4,2,14,2
BHE81_RS29070,0,0,0,2,0,0
BHE81_RS26285,8,22,45,70,103,54
BHE81_RS26290,28,121,179,101,77,46
BHE81_RS26295,0,0,13,0,0,0
BHE81_RS26300,0,0,0,0,0,2
BHE81_RS26305,0,0,4,7,11,4
BHE81_RS26310,2,2,6,16,16,12
BHE81_RS26315,3,4,3,11,13,4
BHE81_RS26320,2,2,2,19,8,4
BHE81_RS26325,0,0,4,13,21,10
BHE81_RS26330,0,0,3,22,11,5
BHE81_RS26335,4,2,6,63,48,36
BHE81_RS26520,2,0,5,6,6,0
BHE81_RS26525,2,4,4,4,10,2
BHE81_RS26530,0,0,0,2,0,2
BHE81_RS26535,0,0,2,4,3,2
BHE81_RS28500,1,5,5,7,2,2
BHE81_RS26545,0,1,4,8,4,1
BHE81_RS26550,0,0,5,0,2,0
BHE81_RS26555,0,0,0,0,2,0
BHE81_RS26560,0,6,0,0,1,0
BHE81_RS26565,0,4,5,3,9,2
BHE81_RS26570,8,2,7,21,12,3
BHE81_RS26575,14,25,28,52,59,18
BHE81_RS26580,22,44,87,118,219,80
BHE81_RS26585,0,11,8,19,19,10
BHE81_RS26590,1,2,5,34,29,41
BHE81_RS26595,16,2,36,28,14,35
BHE81_RS26600,4,2,32,30,18,21
BHE81_RS26610,2,6,8,18,16,4
BHE81_RS28430,0,0,2,0,2,0
BHE81_RS26615,0,1,3,12,8,10
BHE81_RS26620,2,5,12,24,20,18
BHE81_RS26625,8,14,12,27,33,25
BHE81_RS26630,0,1,5,2,2,5
BHE81_RS26635,4,3,5,24,26,8
BHE81_RS26640,4,10,13,24,21,8
BHE81_RS26645,13,18,17,30,48,33
BHE81_RS26650,2,0,0,2,0,0
BHE81_RS26655,6,36,27,70,73,22
BHE81_RS26660,20,44,42,37,72,30
BHE81_RS26665,46,221,266,139,181,85
BHE81_RS26670,28,44,249,218,111,185
BHE81_RS28440,8,16,16,24,35,10
BHE81_RS26680,4,12,46,36,32,34
BHE81_RS26685,2,4,6,36,53,32
BHE81_RS26690,12,6,39,34,20,18
BHE81_RS26695,0,4,15,14,24,8
BHE81_RS29080,0,10,4,10,13,2
BHE81_RS26700,2,2,2,5,2,2
BHE81_RS26705,0,0,0,0,0,4
BHE81_RS26710,0,0,9,1,2,8
BHE81_RS26715,0,4,2,6,7,3
BHE81_RS26720,4,12,10,25,18,18
BHE81_RS26725,20,48,161,72,58,60
BHE81_RS28990,0,0,2,2,8,0
BHE81_RS26735,4,4,2,2,7,2
BHE81_RS26745,0,0,2,3,0,2
BHE81_RS26750,0,0,10,8,0,4
BHE81_RS26755,44,171,183,365,304,273
BHE81_RS26760,3,10,21,43,24,130
BHE81_RS26765,0,2,2,3,2,6
BHE81_RS26770,0,5,3,1,4,2
BHE81_RS26775,9,30,19,42,51,20
BHE81_RS26780,0,4,0,0,4,0
BHE81_RS26785,0,0,0,3,0,3
BHE81_RS26790,15,22,26,41,66,30
BHE81_RS26795,4,16,15,18,42,28
BHE81_RS26800,28,20,123,82,65,70
BHE81_RS26805,2,14,2,14,24,14
BHE81_RS26810,8,7,2,23,18,8
BHE81_RS26815,0,6,8,40,57,40
BHE81_RS26820,11,12,24,26,48,21
BHE81_RS26825,2,10,4,36,24,26
BHE81_RS26830,0,8,2,6,2,2
BHE81_RS26835,0,2,15,12,5,6
BHE81_RS26840,17,25,108,76,55,48
BHE81_RS26845,51,41,580,521,175,955
BHE81_RS26850,6,13,17,49,50,32
BHE81_RS28445,8,6,14,26,26,28
BHE81_RS26855,10,13,42,22,37,25
BHE81_RS28450,0,6,18,18,26,10
BHE81_RS26860,50,35,148,194,234,128
BHE81_RS26865,27,26,55,97,191,44
BHE81_RS26870,0,0,0,2,1,2
BHE81_RS26875,8,46,63,68,98,50
BHE81_RS26880,5,2,9,0,0,2
BHE81_RS26885,24,78,46,57,71,40
BHE81_RS26890,2,2,6,0,5,4
BHE81_RS26895,0,2,1,8,7,6
BHE81_RS26900,0,0,2,10,10,11
BHE81_RS26905,4,8,8,20,38,21
BHE81_RS26910,4,2,6,4,4,6
BHE81_RS29190,0,1,0,3,2,0
BHE81_RS26915,14,32,31,64,91,56
BHE81_RS26920,8,14,14,24,45,6
BHE81_RS26925,2,2,0,2,12,9
BHE81_RS26930,0,8,3,16,6,2
BHE81_RS26935,10,32,14,66,89,35
BHE81_RS26940,2,2,3,16,8,4
BHE81_RS26945,0,2,3,4,10,6
BHE81_RS26950,0,8,6,7,4,2
BHE81_RS26955,0,2,1,6,10,4
BHE81_RS26960,0,2,11,8,16,8
BHE81_RS26965,4,20,2,23,29,14
BHE81_RS26970,4,10,20,36,28,8
BHE81_RS26975,0,2,3,9,7,6
BHE81_RS26980,26,18,26,53,59,18
BHE81_RS26985,0,2,0,0,1,2
BHE81_RS26990,0,2,10,10,10,3
BHE81_RS26995,0,2,0,4,12,5
BHE81_RS27000,0,0,0,6,13,2
BHE81_RS27005,6,6,2,2,8,0
BHE81_RS27010,0,0,1,0,0,0
BHE81_RS27015,44,12,81,82,60,48
BHE81_RS27020,0,0,0,0,0,4
BHE81_RS27025,0,0,0,0,0,2
BHE81_RS27030,2,0,0,6,0,10
BHE81_RS27035,150,399,357,444,700,217
BHE81_RS27040,42,120,247,221,163,137
BHE81_RS27045,17,87,116,151,181,70
BHE81_RS27050,2,0,9,19,0,18
BHE81_RS27055,3,0,30,10,4,20
BHE81_RS27060,7,1,12,9,10,4
BHE81_RS27065,0,0,0,4,4,1
BHE81_RS27070,14,24,10,28,23,30
BHE81_RS27075,8,4,12,20,22,6
BHE81_RS27080,10,16,30,45,43,15
BHE81_RS27090,6,6,0,8,4,2
BHE81_RS27095,3,10,20,25,16,14
BHE81_RS27100,4,11,13,16,18,14
BHE81_RS27105,10,35,17,32,49,10
BHE81_RS27110,10,11,27,74,92,45
BHE81_RS27115,8,8,11,41,51,21
BHE81_RS27120,19,4,40,99,70,24
BHE81_RS27125,0,0,1,8,8,0
BHE81_RS27130,0,2,7,11,7,4
BHE81_RS27135,4,25,24,28,32,4
BHE81_RS27140,13,6,9,13,29,15
BHE81_RS28460,1,21,13,29,48,12
BHE81_RS27145,21,73,49,69,48,52
BHE81_RS27150,36,146,122,262,228,162
BHE81_RS27155,3,20,16,24,37,21
BHE81_RS27165,4,24,24,34,44,15
BHE81_RS27170,5,3,8,14,22,6
BHE81_RS27175,5,9,8,11,31,10
BHE81_RS27180,2,6,8,17,29,8
BHE81_RS27185,19,59,79,163,211,107
BHE81_RS27190,4,15,33,72,67,46
BHE81_RS27195,5,17,26,73,68,44
BHE81_RS27200,2,5,2,29,27,16
BHE81_RS27205,4,11,11,23,41,24
BHE81_RS27210,12,22,28,66,105,41
BHE81_RS27215,0,3,4,7,6,7
BHE81_RS29195,0,1,2,1,0,0
BHE81_RS29200,0,0,0,0,0,1
BHE81_RS27225,0,0,4,0,0,7
BHE81_RS27230,20,44,75,108,110,88
BHE81_RS27235,0,2,12,4,2,32
BHE81_RS27240,0,0,2,4,0,4
BHE81_RS27245,0,0,0,0,0,4
BHE81_RS27250,0,2,0,0,0,4
BHE81_RS27255,0,0,1,1,0,2
BHE81_RS27270,4,22,18,42,31,21
BHE81_RS27275,6,4,8,13,14,13
BHE81_RS27280,0,0,1,5,2,0
BHE81_RS27285,0,0,14,6,8,8
BHE81_RS27290,0,2,8,5,24,5
BHE81_RS27295,15,19,13,47,43,30
BHE81_RS27300,2,14,14,55,21,24
BHE81_RS27305,2,6,11,9,23,24
BHE81_RS27310,4,4,8,26,36,30
BHE81_RS27315,0,0,2,0,2,0
BHE81_RS27320,6,71,34,83,137,84
BHE81_RS27325,16,2,36,227,107,157
BHE81_RS27330,2,2,6,67,89,37
BHE81_RS27335,2,0,5,10,8,6
BHE81_RS27340,10,28,40,88,100,57
BHE81_RS27345,10,10,21,30,25,25
BHE81_RS27350,0,2,3,2,3,1
BHE81_RS27355,4,5,8,8,28,8
BHE81_RS27360,0,0,2,6,6,6
BHE81_RS27365,2,4,6,16,20,20
BHE81_RS28995,0,0,0,1,4,3
BHE81_RS27370,0,2,6,33,26,17
BHE81_RS27375,6,14,14,40,71,29
BHE81_RS27380,4,15,8,34,50,22
BHE81_RS27385,1,23,17,29,46,23
BHE81_RS27390,2,4,16,24,26,21
BHE81_RS27395,2,21,19,44,67,53
BHE81_RS27400,5,22,30,118,144,94
BHE81_RS27405,40,30,49,255,384,160
BHE81_RS27410,44,124,202,363,454,150
BHE81_RS27415,2,4,8,16,11,14
BHE81_RS27420,542,994,1329,1730,3421,796
BHE81_RS27425,12,53,56,27,24,4
BHE81_RS28940,6,4,9,5,13,10
BHE81_RS27435,8,17,25,31,28,14
BHE81_RS27440,20,73,43,110,154,31
BHE81_RS27445,115,545,569,1724,2203,1328
BHE81_RS27450,237,1698,1601,3028,3989,2105
BHE81_RS27455,86,444,368,863,1292,513
BHE81_RS27460,41,152,154,513,654,283
BHE81_RS27465,12,78,51,152,181,132
BHE81_RS27470,0,7,8,37,55,12
BHE81_RS27475,0,5,4,7,16,9
BHE81_RS27485,4,5,21,80,114,26
BHE81_RS27490,2,5,4,24,25,15
BHE81_RS27495,0,9,2,17,20,2
BHE81_RS27500,10,4,6,54,56,12
BHE81_RS27505,2,2,2,22,23,8
BHE81_RS28945,0,10,6,11,18,4
BHE81_RS27520,2,0,12,8,0,18
BHE81_RS27525,20,54,169,442,676,169
BHE81_RS27530,150,232,406,382,523,162
BHE81_RS27535,2,26,14,24,15,14
BHE81_RS27540,7,18,19,55,56,22
BHE81_RS27545,2,2,0,6,11,4
BHE81_RS27550,13,29,17,61,76,17
BHE81_RS27555,4,2,2,1,8,3
BHE81_RS27560,2,14,25,46,54,32
BHE81_RS27565,63,420,366,146,124,57
BHE81_RS27570,426,1887,1783,453,901,275
BHE81_RS27575,369,463,2504,803,697,643
BHE81_RS27580,3,2,6,8,20,4
BHE81_RS29085,0,1,1,0,4,2
BHE81_RS27590,2,3,0,7,11,2
BHE81_RS27600,5,15,16,33,47,26
BHE81_RS27605,0,0,5,2,3,7
BHE81_RS27610,12,26,22,57,103,44
BHE81_RS27615,3,9,14,3,14,6
BHE81_RS27620,2,8,6,30,25,4
BHE81_RS27625,0,8,6,28,20,20
BHE81_RS27630,19,15,14,56,46,24
BHE81_RS27635,0,4,0,19,29,9
BHE81_RS27640,2,6,13,24,34,22
BHE81_RS27645,4,20,18,43,50,41
BHE81_RS27650,5,16,22,41,29,25
BHE81_RS27655,2,2,5,4,21,6
BHE81_RS28950,0,0,0,0,0,0
BHE81_RS27665,2,0,2,2,4,0
BHE81_RS27670,0,2,2,10,12,4
BHE81_RS27675,0,0,2,0,8,2
BHE81_RS27680,4,13,18,17,32,14
BHE81_RS27685,5,38,43,78,100,65
BHE81_RS27690,20,27,41,26,21,8
BHE81_RS27695,16,44,63,149,181,64
BHE81_RS27700,4,8,14,15,18,12
BHE81_RS27705,4,75,73,109,139,70
BHE81_RS27710,2,9,47,42,52,33
BHE81_RS27715,0,0,0,0,0,0
BHE81_RS27720,0,0,4,2,0,6
BHE81_RS27725,0,0,10,2,4,8
BHE81_RS27730,20,100,106,240,267,96
BHE81_RS27735,0,0,8,17,5,3
BHE81_RS27740,0,0,0,4,8,0
BHE81_RS27745,4,2,20,26,23,10
BHE81_RS27750,2,1,3,9,7,0
BHE81_RS27760,4,6,13,18,22,9
BHE81_RS27765,2,10,9,10,6,4
BHE81_RS28955,0,12,14,20,35,12
BHE81_RS28960,1,17,10,11,27,2
BHE81_RS27775,6,31,14,32,53,23
BHE81_RS27780,2,18,12,36,41,11
BHE81_RS27785,33,154,156,244,312,120
BHE81_RS27790,6,86,68,94,95,51
BHE81_RS27795,29,104,210,159,250,133
BHE81_RS27800,7,41,77,68,111,56
BHE81_RS27805,62,456,793,657,833,458
BHE81_RS27810,42,550,834,548,790,425
BHE81_RS27815,5,120,214,157,203,132
BHE81_RS28465,6,43,154,118,116,79
BHE81_RS27820,29,162,410,334,385,152
BHE81_RS27825,20,142,194,192,184,62
BHE81_RS27830,413,2164,4175,3731,4500,2069
BHE81_RS27835,129,686,1432,1181,1744,753
BHE81_RS27840,78,263,811,770,1205,437
BHE81_RS27845,2,19,13,25,30,6
BHE81_RS27850,2,0,3,2,3,1
BHE81_RS27855,0,2,0,0,2,0
BHE81_RS29205,1,0,6,6,2,5
BHE81_RS28470,0,0,0,0,0,0
BHE81_RS27870,0,7,10,25,21,2
BHE81_RS27875,6,0,3,2,8,2
BHE81_RS27880,0,0,2,0,8,5
BHE81_RS27885,0,1,2,0,4,0
BHE81_RS27890,0,0,0,0,0,0
BHE81_RS00015,0,8,9,9,0,0
BHE81_RS00020,6,29,30,10,6,0
BHE81_RS00025,17,153,120,28,38,6
BHE81_RS00030,20,94,65,8,22,4
BHE81_RS00035,2,2,17,22,5,8
BHE81_RS00040,0,0,0,2,2,4
BHE81_RS00045,4,6,14,2,10,4
BHE81_RS00050,0,0,5,3,10,2
BHE81_RS00055,2,0,5,3,16,2
BHE81_RS00060,8,22,10,4,20,2
BHE81_RS00065,14,24,14,16,23,6
BHE81_RS00070,0,2,10,4,1,6
BHE81_RS28515,9,13,42,47,8,11
BHE81_RS00075,0,0,0,0,0,2
BHE81_RS00080,4,10,8,32,40,12
BHE81_RS00085,2,0,6,0,0,0
BHE81_RS00090,6,6,6,24,33,4
BHE81_RS00095,0,2,9,27,18,14
BHE81_RS00100,2,15,7,24,22,4
BHE81_RS00105,1,10,6,2,0,0
BHE81_RS00110,4,49,18,5,6,0
BHE81_RS00115,10,55,51,2,4,2
BHE81_RS00120,0,1,4,6,3,0
BHE81_RS00125,8,46,29,34,36,9
BHE81_RS00130,10,25,12,40,55,15
BHE81_RS00135,4,2,5,4,6,4
BHE81_RS00140,4,15,8,9,14,6
BHE81_RS00145,4,2,4,24,47,12
BHE81_RS00150,12,110,182,881,1117,486
BHE81_RS00155,0,3,4,48,27,32
BHE81_RS00160,8,20,9,90,105,42
BHE81_RS00165,4,14,26,15,38,11
BHE81_RS00170,0,1,1,2,3,4
BHE81_RS00175,8,24,23,36,28,9
BHE81_RS00180,0,0,8,0,0,4
BHE81_RS00185,0,2,2,2,0,2
BHE81_RS00190,2,8,6,6,11,0
BHE81_RS00195,0,4,3,16,4,10
BHE81_RS00200,2,2,4,19,16,12
BHE81_RS00205,6,16,4,16,22,6
BHE81_RS00210,0,10,2,10,9,6
BHE81_RS00215,2,4,7,6,12,14
BHE81_RS00220,0,6,3,8,2,4
BHE81_RS00225,0,0,4,15,17,11
BHE81_RS00230,0,7,19,25,28,15
BHE81_RS00235,0,2,5,4,17,6
BHE81_RS00240,2,4,0,12,12,4
BHE81_RS27965,0,0,0,0,0,2
BHE81_RS00245,4,1,4,3,7,12
BHE81_RS28520,0,4,12,10,12,8
BHE81_RS00260,2,23,21,27,46,12
BHE81_RS00265,2,23,19,30,23,16
BHE81_RS00270,0,0,0,0,0,0
BHE81_RS00275,2,14,13,38,32,18
BHE81_RS00280,2,4,9,14,14,8
BHE81_RS00285,0,8,4,2,10,2
BHE81_RS00290,2,0,0,0,2,2
BHE81_RS00295,0,6,4,11,7,8
BHE81_RS00300,12,30,16,28,44,5
BHE81_RS00305,12,6,12,14,17,3
BHE81_RS00310,0,4,6,12,22,2
BHE81_RS00315,14,56,50,62,82,48
BHE81_RS00320,0,2,4,0,0,3
BHE81_RS00325,0,4,0,0,0,0
BHE81_RS00330,2,10,21,0,3,2
BHE81_RS00335,1,12,33,2,8,2
BHE81_RS00340,0,17,33,10,6,4
BHE81_RS00345,4,18,36,8,16,4
BHE81_RS00350,25,66,42,112,140,53
BHE81_RS00355,27,164,131,153,202,121
BHE81_RS00360,8,36,28,24,26,26
BHE81_RS00365,0,31,28,11,18,10
BHE81_RS00370,8,57,51,31,26,18
BHE81_RS00375,0,11,11,4,1,4
BHE81_RS00380,4,61,34,13,35,1
BHE81_RS00385,56,96,84,362,418,182
BHE81_RS00390,4,2,7,44,30,13
BHE81_RS00395,0,4,0,0,0,0
BHE81_RS00400,0,0,5,2,2,0
BHE81_RS00405,4,1,3,9,15,0
BHE81_RS00410,11,51,96,19,25,18
BHE81_RS00415,8,36,27,82,85,56
BHE81_RS00420,0,0,6,4,4,4
BHE81_RS27980,0,0,1,0,0,0
BHE81_RS00425,0,0,7,36,27,11
BHE81_RS00435,24,45,33,111,85,37
BHE81_RS00440,0,17,18,58,73,32
BHE81_RS00445,4,8,9,46,33,14
BHE81_RS00450,4,38,32,49,58,15
BHE81_RS00455,38,54,56,156,181,112
BHE81_RS00460,19,26,60,590,548,378
BHE81_RS00465,4,38,56,196,212,176
BHE81_RS00470,12,51,38,68,97,29
BHE81_RS00475,4,20,29,32,46,17
BHE81_RS00480,24,65,86,152,157,75
BHE81_RS00485,13,22,16,96,90,61
BHE81_RS00490,17,36,49,175,159,87
BHE81_RS00495,68,198,310,767,805,440
BHE81_RS00500,77,135,220,617,682,405
BHE81_RS00505,6,22,20,37,53,36
BHE81_RS00510,2,10,8,37,43,9
BHE81_RS00515,30,46,37,157,189,93
BHE81_RS00520,20,79,71,119,137,99
BHE81_RS00525,10,55,38,87,73,50
BHE81_RS00530,76,317,302,502,562,320
BHE81_RS00535,50,113,181,527,696,286
BHE81_RS00540,5,8,20,23,35,23
BHE81_RS00545,8,29,33,59,40,27
BHE81_RS00550,26,95,58,173,262,132
BHE81_RS00555,36,109,82,163,166,108
BHE81_RS00560,4,16,20,34,25,38
BHE81_RS00565,2,13,31,35,32,14
BHE81_RS00570,2,22,16,31,41,15
BHE81_RS00575,2,22,10,15,16,13
BHE81_RS00580,27,79,142,442,465,247
BHE81_RS00585,28,11,82,151,81,121
BHE81_RS00590,6,12,6,30,35,9
BHE81_RS00595,0,4,12,96,50,50
BHE81_RS00600,12,24,49,189,164,111
BHE81_RS00605,17,26,46,132,144,61
BHE81_RS00610,18,72,67,141,166,102
BHE81_RS00615,0,0,6,2,2,0
BHE81_RS00620,2,8,12,24,14,18
BHE81_RS00625,8,54,38,40,24,18
BHE81_RS00630,122,471,393,507,657,377
BHE81_RS00635,14,45,49,84,78,49
BHE81_RS00640,12,24,25,36,44,25
BHE81_RS00645,4,24,26,6,20,4
BHE81_RS00650,10,10,12,14,16,10
BHE81_RS00655,0,0,0,6,6,4
BHE81_RS00660,36,252,897,1222,936,820
BHE81_RS00665,12,68,197,314,271,190
BHE81_RS00670,54,100,88,408,322,180
BHE81_RS00675,30,23,66,173,138,115
BHE81_RS00680,14,0,23,280,97,161
