gene_id,log2FoldChange,padj,product,keyword_found,regulation
BHE81_RS07170,6.773203605683686,0.0042266250998957,amino acid ABC transporter permease,transporter,UP
BHE81_RS07195,4.638689210607786,1.6473403136906418e-06,MsnO8 family LLM class oxidoreductase,reductase,UP
BHE81_RS07585,2.593190187692233,0.0001192256901593,pyridoxamine 5'-phosphate oxidase,oxidase,UP
BHE81_RS07680,-3.043884676001792,1.323333567078847e-12,superoxide dismutase [Fe],superoxide,DOWN
BHE81_RS07830,1.59519596476875,0.0025948784735983,ABC transporter substrate-binding protein,transporter,UP
BHE81_RS08205,-3.4207613101653065,0.0306726268646018,multidrug efflux MFS transporter MdtM,transporter,DOWN
BHE81_RS08275,3.529031680772789,0.0426081286034272,ABC transporter substrate-binding protein,transporter,UP
BHE81_RS08290,2.7708591554148057,0.0029343604249357,LLM class flavin-dependent oxidoreductase,reductase,UP
BHE81_RS08355,3.9399545087978938,0.0004588337838514,ABC transporter substrate-binding protein,transporter,UP
BHE81_RS08360,2.419553302968737,0.0035442217672899,FecCD family ABC transporter permease,transporter,UP
BHE81_RS08490,2.573684137694079,0.000918591502833,ABC transporter substrate-binding protein,transporter,UP
BHE81_RS08495,3.3115105388499337,0.0044493445720516,FecCD family ABC transporter permease,transporter,UP
BHE81_RS08530,2.098625997027208,0.0090484637228755,GlsB/YeaQ/YmgE family stress response membrane protein,stress,UP
BHE81_RS08825,-4.88799832423817,0.0053726906246098,DMT family transporter,transporter,DOWN
BHE81_RS08830,-8.888523589004604,4.1399301597938333e-23,respiratory nitrate reductase subunit gamma,reductase,DOWN
BHE81_RS08835,-7.761838045586218,1.0197895260069072e-26,nitrate reductase molybdenum cofactor assembly chaperone,reductase,DOWN
BHE81_RS08840,-7.71620431715136,1.811037621758789e-34,nitrate reductase subunit beta,reductase,DOWN
BHE81_RS08845,-8.090212998730815,3.0414129421314813e-71,nitrate reductase subunit alpha,reductase,DOWN
BHE81_RS08850,-7.632160432194348,4.248413523941628e-38,NarK family nitrate/nitrite MFS transporter,transporter,DOWN
BHE81_RS08980,-3.420796846888265,1.1348361109636525e-13,stress-induced protein YchH,stress,DOWN
BHE81_RS09000,2.1647879433899075,0.0003170571900777,sugar ABC transporter substrate-binding protein,transporter,UP
BHE81_RS09735,2.4148331323207364,0.015993303266816,L-arabinose ABC transporter permease AraH,transporter,UP
BHE81_RS10905,1.3715104186991174,0.0025409510201455,ABC transporter substrate-binding protein,transporter,UP
BHE81_RS11130,-1.4597004940249692,0.0014814703741409,microcin C ABC transporter ATP-binding protein YejF,transporter,DOWN
BHE81_RS11330,-4.007874187918826,2.0765598729582345e-17,glycerol-3-phosphate transporter,transporter,DOWN
BHE81_RS11730,1.8498571271275672,1.1720909841627005e-05,long-chain fatty acid transporter FadL,transporter,UP
BHE81_RS11815,-1.9492065074797271,0.0004413062345036,aldo/keto reductase,reductase,DOWN
BHE81_RS11825,2.7049932220687807,1.791243283026962e-07,Nramp family divalent metal transporter,transporter,UP
BHE81_RS11895,2.483170081917613,0.0183727399245265,sulfate transporter CysZ,transporter,UP
BHE81_RS11970,-1.0029814094086495,0.0490577227870299,Dyp-type peroxidase,oxidase,DOWN
BHE81_RS13255,3.732153586107697,5.168432376927434e-10,class 1b ribonucleoside-diphosphate reductase subunit alpha,reductase,UP
BHE81_RS13260,2.6851138942990795,0.0030078162543571,class 1b ribonucleoside-diphosphate reductase subunit beta,reductase,UP
BHE81_RS13265,1.991660608211828,0.0426960439728895,glycine betaine/L-proline ABC transporter ATP-binding protein ProV,transporter,UP
BHE81_RS13405,-2.5356927259660043,0.0244437106213359,PTS glucitol/sorbitol transporter subunit IIC,transporter,DOWN
BHE81_RS13410,-2.7782403456434888,1.7211131840881517e-06,PTS glucitol/sorbitol transporter subunit IIB,transporter,DOWN
BHE81_RS13440,-1.1047376766609582,0.0415775820285388,nitric oxide reductase transcriptional regulator NorR,reductase,DOWN
BHE81_RS13625,3.909521301450063,1.808483193869449e-19,metal ABC transporter substrate-binding protein,transporter,UP
BHE81_RS13630,4.551376151636683,4.572525588577699e-13,manganese/iron ABC transporter ATP-binding protein,transporter,UP
BHE81_RS13635,7.517500894247882,0.0010257203082537,iron/manganese ABC transporter permease subunit SitC,transporter,UP
