gene_id,product,log2FoldChange,padj,functional_category
BHE81_RS01555,(2E%2C6E)-farnesyl-diphosphate-specific ditrans%2Cpolycis-undecaprenyl-diphosphate synthase,1.1439013110776508,0.0294890891619435,Metabolism
BHE81_RS01565,sigma E protease regulator RseP,1.370489170536426,1.7912704836875694e-05,Transcription
BHE81_RS01755,NADPH-dependent aldehyde reductase Ahr,1.3994482476157453,0.0299679200742816,Energy
BHE81_RS01760,SulP family inorganic anion transporter,4.5193850334295815,4.5063478257249347e-11,Transport
BHE81_RS01765,carbonic anhydrase,7.174633861233923,4.816681147141952e-06,Unknown
BHE81_RS01810,IS66 family transposase,-1.281456195259472,0.0356849948628436,Unknown
BHE81_RS01945,efflux RND transporter periplasmic adaptor subunit,-1.8751426010747485,0.0006360689687255,Transport
BHE81_RS01980,cupin domain-containing protein,-4.738645587757775,1.1362218229028216e-15,Unknown
BHE81_RS02060,acyl-CoA dehydrogenase FadE,2.706429547025644,2.9220162003982783e-06,Metabolism
BHE81_RS02085,NADH:ubiquinone reductase (Na(+)-transporting) subunit B,-1.2469258690345018,0.0132049118824117,Energy
BHE81_RS02090,Na(+)-translocating NADH-quinone reductase subunit C,-1.2753150643987048,0.0078247176674005,Energy
BHE81_RS02095,NADH:ubiquinone reductase (Na(+)-transporting) subunit D,-1.1497498657872798,0.0216097759327323,Energy
BHE81_RS02100,NADH:ubiquinone reductase (Na(+)-transporting) subunit E,-1.3994174429737964,0.0121533590831682,Energy
BHE81_RS02105,NADH:ubiquinone reductase (Na(+)-transporting) subunit F,-1.5996487893373188,0.0019720870248977,Energy
BHE81_RS02140,esterase FrsA,-1.1177523384986308,0.007343930422515,Unknown
BHE81_RS02180,YjhX family toxin,-2.631663601998888,0.0051468453954892,Unknown
BHE81_RS02185,SAM-dependent methyltransferase,-1.713961918337788,0.0424603552716603,Metabolism
BHE81_RS02210,FGGY-family carbohydrate kinase,2.302690112183445,0.0223480272736824,Metabolism
BHE81_RS02230,zinc ribbon domain-containing protein,-3.969203286492375,0.0018676435707238,Unknown
BHE81_RS02245,alpha-ketoacid dehydrogenase subunit beta,-1.2482127303361057,0.0466204936321197,Metabolism
BHE81_RS02255,LuxR C-terminal-related transcriptional regulator,-1.3339067196718153,0.0250169327131675,Transcription
BHE81_RS02425,C40 family peptidase,2.0738483416189086,0.0038671840514803,Unknown
BHE81_RS02455,arylsulfatase,2.607663779045428,0.0181632200603131,Unknown
BHE81_RS02510,YncE family protein,5.783050838815717,0.0240225213331219,Unknown
BHE81_RS02640,hypothetical protein,4.658350923126887,1.7388617547514438e-23,Unknown
BHE81_RS02645,ABC transporter ATP-binding protein,2.910578902299567,0.0210193366616065,Transport
BHE81_RS02695,taurine ABC transporter substrate-binding protein,3.468907081718191,5.661672710974576e-08,Transport
BHE81_RS02700,taurine ABC transporter ATP-binding subunit,2.862101155288041,0.0025019448347043,Transport
BHE81_RS02710,taurine dioxygenase,2.376271553038944,0.0003996784562599,Unknown
BHE81_RS02740,peptide antibiotic transporter SbmA,2.398205805193683,9.316508793867696e-05,Transport
BHE81_RS02745,DUF1615 domain-containing protein,1.580702119808702,0.0093030835538249,Unknown
BHE81_RS02750,YaiY family protein,2.449749065756311,0.0350950562771954,Unknown
BHE81_RS02770,multidrug efflux MFS transporter,-2.430470558461627,0.0025019448347043,Transport
BHE81_RS02800,DUF2076 domain-containing protein,2.324635262816384,4.4691532655131036e-12,Unknown
BHE81_RS02845,phosphate response regulator transcription factor PhoB,2.433415106169765,0.0014996047907568,Transcription
BHE81_RS02850,phosphate regulon sensor histidine kinase PhoR,1.202975193602366,0.0223716632525999,Metabolism
BHE81_RS02965,DUF3251 domain-containing protein,4.474093530065512,0.0235762921093429,Unknown
BHE81_RS02985,transcription antitermination factor NusB,1.3328243766768917,0.0025620021560522,Transcription
BHE81_RS03145,trigger factor,1.038194922682513,0.0010295190763558,Unknown
BHE81_RS03180,YbgC/FadM family acyl-CoA thioesterase,2.2546819743771005,0.0010176704017881,Unknown
BHE81_RS03205,Lrp/AsnC family transcriptional regulator,2.5476965161608933,0.0231755391908881,Transcription
BHE81_RS03235,YbaY family lipoprotein,1.163238938256947,0.0203633155684235,Membrane
BHE81_RS03255,hypothetical protein,2.8851568418913884,0.0376109970706514,Unknown
BHE81_RS03290,ABC transporter ATP-binding protein,-1.9884818651102223,0.0297707384306173,Transport
BHE81_RS03295,maltodextrin ABC transporter substrate-binding protein,-1.942342027923488,0.0001382175956439,Transport
BHE81_RS03380,multidrug efflux RND transporter periplasmic adaptor subunit AcrA,1.0131701837717604,0.0331428760114256,Transport
BHE81_RS03425,YbaB/EbfC family nucleoid-associated protein,1.3781151653303367,0.0054327843271265,Unknown
BHE81_RS03495,SPFH domain-containing protein,-1.202925163740105,0.0148746902677194,Unknown
BHE81_RS03530,putative ABC transporter ATP-binding protein YbbA,1.2768223292799088,0.0431834817110034,Transport
BHE81_RS03535,putative ABC transporter permease subunit YbbP,1.2691766883530349,0.0058128757490728,Transport
BHE81_RS03575,cysteine--tRNA ligase,-1.2115590948169437,8.867140345972005e-05,Unknown
BHE81_RS03615,citrate synthase,-4.208932216248803,6.048844630802691e-09,Metabolism
BHE81_RS03660,DUF1471 domain-containing protein,1.0281043411456527,0.0241273492597802,Unknown
BHE81_RS03690,lysine--tRNA ligase,-2.517183810581934,0.0001641142355111,Unknown
BHE81_RS03725,sugar ABC transporter substrate-binding protein,3.977511939619625,0.0409687259311705,Transport
BHE81_RS03730,sugar ABC transporter ATP-binding protein,3.435050428419602,1.872942421446488e-07,Transport
BHE81_RS03735,ABC transporter permease,3.8117055653764,9.607814023475403e-10,Transport
BHE81_RS03795,ABC transporter substrate-binding protein,1.9714370593872528,0.0193448876070991,Transport
BHE81_RS03800,hypothetical protein,3.325849750985478,1.8410305265568828e-10,Unknown
BHE81_RS03825,acid phosphatase PhoC,-1.92767086495507,7.612088813035662e-06,Unknown
BHE81_RS03855,CDP-alcohol phosphatidyltransferase family protein,-2.7552632683498715,0.0009219488468128,Metabolism
BHE81_RS03860,sulfurtransferase,-3.6674243859256217,1.7855569816543919e-10,Metabolism
BHE81_RS03900,aspartate aminotransferase family protein,2.058405578668808,4.371454389846573e-06,Metabolism
BHE81_RS03905,arginine N-succinyltransferase,1.692289222737183,0.0025019448347043,Metabolism
BHE81_RS03910,succinylglutamate-semialdehyde dehydrogenase,1.496540612960515,0.0019720870248977,Metabolism
BHE81_RS03915,N-succinylarginine dihydrolase,1.798768449710605,8.652228711128769e-05,Unknown
BHE81_RS03920,succinylglutamate desuccinylase,1.94507894450144,0.00358871636749,Unknown
