,PC1,PC2,PC3,condition
SRR12998916,65.95610825658355,62.756699226535986,4.99294086322702,control
SRR12998917,36.549024532724985,-47.07544564639814,-47.947536977360485,control
SRR12998918,22.966440163503506,-47.165223037753464,53.01575081718912,control
SRR12998919,-39.947858284711465,11.517670172383319,-6.398746213063333,treated
SRR12998920,-35.332590051070774,8.53573502300565,-15.741721937063872,treated
SRR12998921,-50.19112461702978,11.430564262226676,12.079313447071591,treated
