Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,,,,,,,
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,,,,,,,
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,,,,,,,
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,,,,,,,
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,,,,,,,
BHE81_RS26230,140.88746080958273,2.538400963269346,0.5165599601955935,4.914049014383906,8.92144305017358e-07,1.991511546491129e-05,,,,,,,
BHE81_RS26235,30.85950926306963,2.369513940616809,0.5051601112226739,4.690619643110203,2.723789000235715e-06,5.523600548130027e-05,,,,,,,
BHE81_RS26240,18.36062823262743,4.476027160548608,0.9634150614886394,4.646000814677309,3.384316656271799e-06,6.672164473276037e-05,,,,,,,
BHE81_RS26245,20.419336445295848,2.1121446471018155,0.6712915487748944,3.1463894502418137,0.0016529973781304,0.013541739686082,,,,,,,
BHE81_RS26250,6.9170013736329565,3.736277254306864,1.2784069419598287,2.922604009470616,0.0034711766571622,0.0244081571942792,,,,,,,
BHE81_RS26290,93.06533747421436,-1.7177060572250389,0.3889397946473508,-4.416380326375376,1.0036742660657198e-05,0.0001721342166069,,,,,,,
BHE81_RS26335,18.409208335294583,2.251589034881595,0.6754580937528245,3.3334252053622384,0.0008578373251804,0.007867860162905,,,,,,,
BHE81_RS26590,13.23876321619867,2.585773899810076,0.8253401930308321,3.1329794933584187,0.0017304153140436,0.0139324851334926,,,,,,,
BHE81_RS26665,154.31088609966048,-1.570164314203731,0.3310707151361007,-4.742685602857528,2.109034504155456e-06,4.4490082865159344e-05,,,,,,,
BHE81_RS26685,15.281995005484184,2.0991059839574806,0.6421842243774036,3.268697523662403,0.0010804373517457,0.0096371357019351,,,,,,,
BHE81_RS26815,17.100002779575064,2.224207063807908,0.6812111298933725,3.265077398480049,0.0010943416910616,0.0097405645455465,,,,,,,
BHE81_RS26880,5.014922202807186,-4.27886664399761,1.4918425086159388,-2.8681758424804107,0.004128460103718,0.0282601053454399,,,,,,,
BHE81_RS26885,52.5869578872756,-1.1328963501930551,0.3838213627883359,-2.9516240106150846,0.003161075842931,0.0228366078447365,,,,,,,
BHE81_RS27330,21.83935465238784,2.5771463813186526,0.6337244703232445,4.066666985423688,4.769031621750457e-05,0.0006867080004151,,,,,,,
BHE81_RS27400,47.9098750174245,1.452080223830751,0.4131906244484013,3.51431067868309,0.0004408968270324,0.0045039799352295,,,,,,,
BHE81_RS27425,32.20734323772153,-2.4977439965575434,0.5318323556218233,-4.696487474210097,2.646734578541849e-06,5.42066659556702e-05,,,,,,,
