Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BHE81_RS25410,0.0,,,,,
BHE81_RS25415,9.475130805466039,-1.2303686396633822,0.9768460682981239,-1.259531751821399,0.20783832901341337,0.4624841298035817
BHE81_RS25585,33.47954107758603,-0.03840520597576829,0.46917711682618735,-0.08185651984812377,0.9347608104884401,0.9731269116939053
BHE81_RS25590,115.49882153974686,-0.4650727960210805,0.5094353378296506,-0.9129182086237521,0.3612855601712621,0.63453527337579
BHE81_RS25595,6.2808911812824055,-1.161681323919647,0.9620743863949541,-1.207475576054625,0.22724904553277436,0.4879204697724046
BHE81_RS28870,0.4541780694505824,1.6602366588071436,4.2699744769924814,0.388816529876899,0.6974118720484676,
BHE81_RS28875,2.7053782715139856,-3.799505558810761,2.2752035841602742,-1.669962892667063,0.09492670555413522,
BHE81_RS25605,3.2893092727556827,-1.8025567755632843,1.6100493256311545,-1.1195661815246964,0.2628986736629142,
BHE81_RS25610,6.199417558648978,-0.0772021819857463,0.912079015952588,-0.08464418173804301,0.9325442731348923,0.9724182620751632
BHE81_RS25620,0.0,,,,,
BHE81_RS25625,0.305497442024161,0.9990249454650503,4.301573439907911,0.2322463999327738,0.8163466408764661,
BHE81_RS25630,15.227003022851427,-0.021354408562051883,0.587107866195104,-0.03637220652559869,0.970985575489822,0.9897531150015847
BHE81_RS25635,173.66667794127417,-0.4842485380026568,0.49751989439351363,-0.9733249734524991,0.3303918143099642,0.6029078999021363
BHE81_RS25640,21.96606720993506,0.12932171316490204,0.5469952933979924,0.23642198520857818,0.8131052379497336,0.9190328265790554
BHE81_RS25645,24.089136020136134,-0.34546690354022525,0.7210995682067763,-0.47908349799644045,0.6318792288582227,0.8278521846179956
BHE81_RS25655,9.204100783510805,-0.8772592609087194,0.702206761353903,-1.24928911139691,0.21155934903236495,0.4678034033372892
BHE81_RS25660,11.14522916671809,-0.08353540517807373,0.7237900387269391,-0.11541386411590109,0.9081170904201064,0.9616832340568344
BHE81_RS25670,37.57972329275413,-0.35730188848134947,0.688912601922649,-0.5186461787521014,0.6040075001591805,0.8084732370468218
BHE81_RS25675,54.0644375223396,-0.9806951712207956,0.5881325190974617,-1.6674731278687906,0.09542036343868739,0.284708991052208
BHE81_RS25680,3.334105140925784,0.10594100198651689,1.5598338406922136,0.06791813283106041,0.9458508041707484,
BHE81_RS25685,14.940237983303286,0.5862973489860024,0.6813212177920173,0.8605300021127152,0.38949695258331973,0.6612827537018213
BHE81_RS25690,4.0620307262982935,2.9308588817036623,1.3829871421808106,2.1192235215448476,0.03407158136165504,0.14134513447868496
BHE81_RS25700,117.05648593052622,-0.04090374764763141,0.4544920580035559,-0.08999881720113882,0.9282881547522505,0.9717605446123657
BHE81_RS25705,15.363753807297387,-0.9573526945097967,0.565183168848697,-1.6938804042235833,0.09028801131416218,0.2748377487261546
BHE81_RS25715,4.194809148007175,-1.5301850881675803,1.0810807262156203,-1.4154216711679557,0.1569448993659842,0.39556648570011244
BHE81_RS25720,6.083046154075685,-1.620730109492392,1.0537624362422444,-1.5380412640936179,0.1240385257637169,0.3409241304215776
BHE81_RS28880,0.0,,,,,
BHE81_RS25885,8.597995313679153,0.9909545302624685,0.7778725212301402,1.2739292148993218,0.20268850353514167,0.4555839686440827
BHE81_RS25890,10.290544443998604,1.9601832513093167,1.1168402803679875,1.755115109801964,0.07923962030352974,0.25245677480571577
BHE81_RS25905,7.086779595839143,-0.582171483244109,0.919752401085253,-0.6329654400001362,0.5267562118665945,0.7552670512713848
BHE81_RS29060,0.5900923254460055,-1.1069924593746647,2.7984924943997873,-0.39556742124194594,0.6924241748603344,
BHE81_RS25915,12.469471440518086,0.8702157124382003,1.0448227833979553,0.8328835533315029,0.40491040609847295,0.6738989763097653
BHE81_RS25920,1.2951702258357616,1.0028686954044386,1.8714854197198387,0.5358677576844644,0.592049949221179,
BHE81_RS26345,0.8410705097782653,1.2189694605274517,2.503120214937422,0.48697999131373154,0.626272510422558,
BHE81_RS26350,14.72825811653283,-1.153464755367138,0.6483227723051076,-1.7791519974934726,0.07521484579198284,0.24360477607453765
BHE81_RS26355,3.8084317657024394,-0.342345631486691,1.0867791354385248,-0.315009389049921,0.7527545250946142,0.8931706302760256
BHE81_RS26360,13.900911223891947,0.6462148568200645,0.5711422676118518,1.1314428881653564,0.2578687286969622,0.5250715088670287
BHE81_RS26365,5.832320763860988,0.7182730901511923,0.9994329241601975,0.718680636576729,0.4723377166662204,0.7211060224406112
BHE81_RS26370,3.718373058280895,0.6419731300995909,1.1010554879006247,0.5830524775128607,0.5598579737163172,
BHE81_RS26375,3.7350891319476744,-1.050567637673774,1.1985232040853495,-0.8765517714573684,0.3807301446401573,
BHE81_RS26380,4.320760481800722,-1.1491181495917389,1.0301219024163835,-1.1155166654511692,0.26462908091524295,0.5321592432704528
BHE81_RS26385,6.721586902620278,-0.438558518620929,0.7945750997664446,-0.5519409288685712,0.5809888254689558,0.7932659723797815
BHE81_RS26390,0.1513926898168608,0.22773499800420052,4.361186035622754,0.052218592865342243,0.9583545181798994,
BHE81_RS26395,0.4667614831551334,1.6783593662807863,3.1821725313266778,0.5274256344551697,0.5978980459150967,
BHE81_RS26400,1.386948839553215,1.584030433343291,2.40024175381395,0.6599462036798123,0.5092883525393836,
BHE81_RS26405,20.607242318067122,-0.7630215654664083,0.5426252409490392,-1.4061667388194121,0.15967461836632113,0.40027760837047466
BHE81_RS29075,0.6391612074167533,-2.5665890352349296,2.7511328572843734,-0.9329207887722275,0.3508608679053564,
BHE81_RS26410,2.124921653726012,-0.31260514181869786,1.324746159987352,-0.235973616124075,0.8134531433767874,
BHE81_RS26415,4.818199859262783,-1.222307486555528,1.2321451317311622,-0.9920158389443843,0.3211897990354816,0.5935609996192277
BHE81_RS26420,4.661837696272237,1.4840292098124792,1.2739331992688703,1.1649191736773845,0.24405171151001315,0.5105134741981147
BHE81_RS26425,5.5423154141838635,1.0753432390786635,1.2344531051651546,0.8711090235661855,0.38369462759419715,0.6570139443519868
BHE81_RS26430,0.23831641723462246,0.7428165769166011,4.318107159695935,0.17202365514451648,0.863418932092187,
BHE81_RS26435,2.8511116339248077,1.3162532070596693,1.4026750578882672,0.9383878323474958,0.34804513667974457,
BHE81_RS26440,25.692943791643177,-1.211486307173722,0.5593590835283255,-2.16584720414641,0.03032286484680129,0.12948599877394196
BHE81_RS26445,0.5325731307638549,-1.4512177045759636,3.3543476242948143,-0.4326378381492448,0.6652778960210259,
BHE81_RS26450,1.7435321326032138,3.5532050136740416,2.8040210114388797,1.2671820215251235,0.2050902127221227,
BHE81_RS26455,2.591547809106692,-0.05179413189342359,1.6079014579150357,-0.032212255072263565,0.9743027831172206,
BHE81_RS26460,26.491317433819074,-0.5827779768094233,0.5089433648412418,-1.1450743188119044,0.2521783726790301,0.51933230098921
BHE81_RS26465,0.9348789975054865,2.658556317374415,2.6545267635604466,1.0015179932895322,0.31657644556455156,
BHE81_RS26470,22.895529235758534,-0.19603091884574048,0.558870106250006,-0.3507629351677072,0.7257662060291428,0.8778691580381174
BHE81_RS26475,3.016430422655842,0.5545534268944315,1.1510489301132334,0.4817809324924857,0.6299615759548483,
BHE81_RS26480,0.3252401446523841,1.1836502645069256,4.0722085436068145,0.29066543420650787,0.7713072101967956,
